send_id,offer_id,group_id,subject_id,sender_email,sender_name,email_message,send_date
16715,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"29-05-2021 13:35"
16716,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"29-05-2021 13:35"
16720,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"29-05-2021 14:00"
16721,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"29-05-2021 14:25"
16722,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"29-05-2021 23:30"
16723,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"29-05-2021 23:55"
16724,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 00:20"
16725,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 00:45"
16726,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 01:10"
16727,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 01:35"
16728,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 02:00"
16729,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 02:25"
16730,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 02:50"
16731,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 03:15"
16732,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 03:40"
16733,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 04:24"
16734,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 04:48"
16735,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 05:24"
16736,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 05:40"
16737,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 06:05"
16738,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 06:30"
16739,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 06:55"
16740,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 07:20"
16741,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 07:45"
16742,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 08:55"
16743,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 09:20"
16744,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 09:45"
16745,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 10:10"
16746,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 10:35"
16747,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 11:00"
16748,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 11:25"
16749,89,44,540,orlando.p.loving22@shopmykart.store,"Costco Reward",,"30-05-2021 11:50"
